Unannotated Annotated CDSs
RS_GCF_001682855.1 2772 3225 5997
RS_GCF_001729745.1 1026 3295 4321
RS_GCF_001663815.1 1029 1537 2566
RS_GCF_001552765.1 1426 1093 2519
RS_GCF_900086555.1 726 1269 1995
RS_GCF_001704135.1 2321 2517 4838
RS_GCF_001639925.1 1520 1986 3506
RS_GCF_001663515.1 1287 2363 3650
RS_GCF_001673105.1 1896 2534 4430
RS_GCF_001550085.1 1689 2137 3826
RS_GCF_001580195.1 1498 1080 2578
RS_GCF_001406775.1 1132 1543 2675
RS_GCF_900059565.1 625 801 1426
RS_GCF_001683395.1 1244 3349 4593
RS_GCF_001709345.1 1289 2207 3496
RS_GCF_001662285.1 1080 2154 3234
RS_GCF_001556675.1 2911 2955 5866
RS_GCF_001639905.1 1004 1334 2338
RS_GCF_001697245.1 1108 1519 2627
RS_GCF_001741975.1 1522 2328 3850
RS_GCF_001696615.2 1787 1802 3589
RS_GCF_001499915.1 2161 2831 4992
RS_GCF_001650175.1 3325 2054 5379
RS_GCF_001634785.1 2005 2218 4223
RS_GCF_001704635.1 4299 3502 7801
RS_GCF_001507545.1 1886 2207 4093
RS_GCF_001637165.1 2937 2909 5846
RS_GCF_001638825.1 1609 1607 3216
RS_GCF_001550065.1 2120 2173 4293
RS_GCF_001653935.1 2534 3101 5635
RS_GCF_001571775.1 1455 1474 2929
RS_GCF_001637215.1 2849 2850 5699
RS_GCF_001556325.1 1764 2153 3917
RS_GCF_001654835.1 1382 3335 4717
RS_GCF_001717565.1 1204 1404 2608
RS_GCF_001545925.1 2784 3247 6031
RS_GCF_001647635.1 1774 1843 3617
RS_GCF_001721645.1 3176 2302 5478
RS_GCF_001641065.1 1671 1621 3292
RS_GCF_001655055.1 1046 2727 3773
RS_GCF_001612555.1 1833 1740 3573
RS_GCF_001653515.1 3441 2935 6376
RS_GCF_001509485.1 3499 3145 6644
RS_GCF_001552435.1 1456 1649 3105
RS_GCF_001720465.1 1365 1480 2845
RS_GCF_900039485.1 135 526 661
RS_GCF_001686675.1 2927 3536 6463
RS_GCF_001665605.1 2099 2912 5011
RS_GCF_000406085.2 1243 2682 3925
RS_GCF_001542855.1 1598 1650 3248
RS_GCF_001565895.1 2159 2315 4474
RS_GCF_001598555.1 2914 3108 6022
RS_GCF_001561995.1 1622 1865 3487
RS_GCF_001557175.1 2040 1960 4000
RS_GCF_001593535.1 287 496 783
RS_GCF_001676655.1 897 1476 2373
RS_GCF_001636545.1 809 1162 1971
RS_GCF_900078685.2 2100 2604 4704
RS_GCF_001636335.1 1641 2295 3936
RS_GCF_001715975.1 2089 2054 4143
RS_GCF_001700965.1 1786 2069 3855
RS_GCF_001610895.1 3339 1950 5289
RS_GCF_001613125.1 2875 2791 5666
RS_GCF_001730365.1 1249 1580 2829
RS_GCF_001652025.1 556 954 1510
RS_GCF_001593605.1 1734 1611 3345
RS_GCF_001624605.1 1325 2414 3739
RS_GCF_001722445.1 1851 2655 4506
RS_GCF_001591485.1 1199 2104 3303
RS_GCF_001552965.1 1137 1342 2479
RS_GCF_001594005.1 1325 1405 2730
RS_GCF_001562055.1 1411 1891 3302
RS_GCF_001639685.1 2174 3827 6001
RS_GCF_001652565.1 3130 3903 7033
RS_GCF_001661495.1 2093 2393 4486
RS_GCF_001676875.1 2024 2426 4450
RS_GCF_001562415.1 1448 1569 3017
RS_GCF_001697225.1 1123 1930 3053
RS_GCF_001700945.1 2404 3159 5563
RS_GCF_001708285.1 1410 1269 2679
RS_GCF_001667375.1 1818 2479 4297
RS_GCF_001634305.1 1489 2267 3756
RS_GCF_001683375.1 757 1145 1902
RS_GCF_001650915.1 1758 2472 4230
RS_GCF_001553805.1 1534 1754 3288
RS_GCF_001662075.1 2955 3343 6298
RS_GCF_001672735.1 1980 2546 4526
RS_GCF_001661595.2 1997 1302 3299
RS_GCF_001715195.1 1393 1359 2752
RS_GCF_001552215.1 4443 3662 8105
RS_GCF_001695395.1 862 1066 1928
RS_GCF_001662105.1 3406 3585 6991
RS_GCF_001596155.1 2774 1953 4727
RS_GCF_001693455.1 2124 2227 4351
RS_GCF_001707885.1 2125 2216 4341
RS_GCF_001665685.1 3437 4079 7516
RS_GCF_001611555.1 1554 2197 3751
RS_GCF_001673405.1 2504 2955 5459
RS_GCF_001678575.1 543 1674 2217
RS_GCF_001672775.1 1866 2689 4555
RS_GCF_001644605.1 1998 2475 4473
RS_GCF_001730315.1 1385 1855 3240
RS_GCF_001642655.1 1298 1749 3047
RS_GCF_001676385.1 1727 2032 3759
RS_GCF_001705465.1 2095 2557 4652
RS_GCF_001651505.1 2003 2228 4231
RS_GCF_001702295.1 2498 3793 6291
RS_GCF_001570925.1 826 1045 1871
RS_GCF_001668725.1 2330 3019 5349
RS_GCF_001704575.1 730 1358 2088
RS_GCF_001591545.1 1555 2527 4082
RS_GCF_001667925.1 2319 2977 5296
RS_GCF_001651805.1 1710 2812 4522
RS_GCF_001702175.1 1535 1865 3400
RS_GCF_001683335.1 1278 1349 2627
RS_GCF_001723275.1 2478 3062 5540
RS_GCF_001723195.1 2196 2585 4781
RS_GCF_001648505.1 744 1009 1753
RS_GCF_001597725.1 1346 1829 3175
RS_GCF_001679065.1 749 1174 1923
RS_GCF_001592285.1 1724 2519 4243
RS_GCF_001705845.1 3100 3776 6876
RS_GCF_001676395.1 2013 2151 4164
RS_GCF_001677375.1 980 868 1848
RS_GCF_001640865.1 2536 1830 4366
RS_GCF_001574435.1 1849 2462 4311
RS_GCF_001514125.1 4075 3240 7315
RS_GCF_001590605.1 2919 2167 5086
RS_GCF_001614315.2 1414 1869 3283
RS_GCF_001553565.1 1102 1448 2550
RS_GCF_900078395.1 1534 1771 3305
RS_GCF_001641635.1 5067 4424 9491
RS_GCF_001672295.1 1445 1700 3145
RS_GCF_001676435.1 1686 2105 3791
RS_GCF_001695905.1 3081 3529 6610
RS_GCF_001636425.1 2194 2677 4871
RS_GCF_001676025.1 1111 2029 3140
RS_GCF_001593245.1 1778 2697 4475
RS_GCF_001712855.1 794 1593 2387
RS_GCF_001557035.1 2819 2921 5740
RS_GCF_001570365.1 4250 3937 8187
RS_GCF_001729305.1 2856 3824 6680
RS_GCF_001643975.1 791 1008 1799
RS_GCF_001667145.1 2001 2701 4702
RS_GCF_001641695.1 4214 3932 8146
RS_GCF_001667745.1 2240 2809 5049
RS_GCF_001653455.1 648 836 1484
RS_GCF_001660005.1 774 564 1338
RS_GCF_001547735.1 687 1166 1853
RS_GCF_001571005.1 1819 1800 3619
RS_GCF_001650795.1 1885 2202 4087
RS_GCF_900089845.1 1933 2769 4702
RS_GCF_001644575.1 2669 3163 5832
RS_GCF_001655635.1 2098 2836 4934
RS_GCF_001643955.1 733 1052 1785
RS_GCF_001556635.1 2205 1916 4121
RS_GCF_001612905.1 3497 3114 6611
RS_GCF_001634325.1 1701 2783 4484
RS_GCF_001698165.1 711 1301 2012
RS_GCF_900048895.1 1661 1569 3230
RS_GCF_001648495.1 862 1028 1890
RS_GCF_001553085.1 624 835 1459
RS_GCF_001552735.1 1540 1818 3358
RS_GCF_001439985.1 690 568 1258
RS_GCF_001717505.1 409 789 1198
RS_GCF_001679725.1 1940 2068 4008
RS_GCF_001676585.1 2006 1685 3691
RS_GCF_001720395.1 2584 1691 4275
RS_GCF_001650765.1 1765 2470 4235
RS_GCF_001618385.1 1530 1427 2957
RS_GCF_001644685.1 2249 2268 4517
RS_GCF_001661965.1 1958 1996 3954
RS_GCF_001544295.1 950 1638 2588
RS_GCF_001552775.1 702 766 1468
RS_GCF_001644195.2 1808 2304 4112
RS_GCF_001556425.1 2060 1695 3755
RS_GCF_001730285.1 1375 1880 3255
RS_GCF_001685025.1 2399 2639 5038
RS_GCF_001571045.1 1271 1551 2822
RS_GCF_900021165.1 2132 2784 4916
RS_GCF_001555965.1 1669 1706 3375
RS_GCF_001647675.1 1122 1734 2856
RS_GCF_001722135.1 1346 2493 3839
RS_GCF_001687335.1 1015 1269 2284
RS_GCF_001665535.1 2389 2981 5370
RS_GCF_001702115.1 395 951 1346
RS_GCF_001579845.1 3778 3931 7709
RS_GCF_001548375.1 3398 2563 5961
RS_GCF_001613145.1 4055 3548 7603
RS_GCF_001675045.1 2411 2743 5154
RS_GCF_001556125.1 2495 2615 5110
RS_GCF_001641335.1 4300 3838 8138
RS_GCF_001698205.1 1413 1492 2905
RS_GCF_001720135.1 2291 2224 4515
RS_GCF_001559015.1 2120 2182 4302
RS_GCF_001644705.1 1084 3067 4151
RS_GCF_900086625.1 1694 2154 3848
RS_GCF_900044055.2 4019 4656 8675
RS_GCF_900078205.2 3063 1805 4868
RS_GCF_001684955.1 2489 1652 4141
RS_GCF_001702135.1 461 970 1431
RS_GCF_001677955.1 2730 1538 4268
RS_GCF_001718695.1 2533 3406 5939
RS_GCF_001655595.1 2333 3411 5744
RS_GCF_001650635.1 1894 1977 3871
RS_GCF_001730235.1 846 1360 2206
RS_GCF_001712875.1 203 328 531
RS_GCF_001704975.1 1244 2477 3721
RS_GCF_001612685.1 5027 3861 8888
RS_GCF_001676615.1 3071 3909 6980
RS_GCF_001709315.1 1545 3255 4800
RS_GCF_001736145.1 2081 1838 3919
RS_GCF_001680885.1 1809 1497 3306
RS_GCF_001664485.1 3129 3473 6602
RS_GCF_001643375.1 2369 1547 3916
RS_GCF_001653715.1 3310 3115 6425
RS_GCF_001635685.1 1565 1504 3069
RS_GCF_001655645.1 1500 2383 3883
RS_GCF_001742305.1 1333 1677 3010
RS_GCF_001680825.1 1494 1832 3326
RS_GCF_001643015.1 1302 1622 2924
RS_GCF_001659845.1 2818 3432 6250
RS_GCF_001665295.1 2664 3156 5820
RS_GCF_001564455.1 1227 1177 2404
RS_GCF_001645455.1 2557 2926 5483
RS_GCF_001685355.1 4914 4244 9158
RS_GCF_001598495.1 973 1286 2259
RS_GCF_001663175.1 1371 1492 2863
RS_GCF_000940955.1 984 709 1693
RS_GCF_001645125.1 3386 4228 7614
RS_GCF_001623565.1 935 1324 2259
RS_GCF_001592865.1 1684 2035 3719
RS_GCF_001693775.1 1179 1130 2309
RS_GCF_001723605.1 1332 1682 3014
RS_GCF_001596135.1 2960 2027 4987
RS_GCF_001707825.1 2222 2507 4729
RS_GCF_001742425.1 1591 2079 3670
RS_GCF_001704255.1 1568 2947 4515
RS_GCF_001634285.1 1256 1983 3239
RS_GCF_001570945.1 1547 1669 3216
RS_GCF_001646655.1 1960 2460 4420
RS_GCF_001682195.1 3478 2138 5616
RS_GCF_001553355.1 520 868 1388
RS_GCF_900089765.1 1481 2479 3960
RS_GCF_001702265.1 2500 3770 6270
RS_GCF_001637335.1 1903 2413 4316
RS_GCF_001632745.1 3392 1911 5303
RS_GCF_001722355.1 2649 3006 5655
RS_GCF_900004915.1 2162 3187 5349
RS_GCF_001648175.1 1232 2703 3935
RS_GCF_001645135.1 3358 4246 7604
RS_GCF_001634775.1 2007 2341 4348
RS_GCF_001598355.1 2356 2042 4398
RS_GCF_001700985.1 1484 2423 3907
RS_GCF_001591045.1 1839 1995 3834
RS_GCF_001678845.1 1197 1587 2784
RS_GCF_001656035.1 1123 2705 3828
RS_GCF_001713375.1 1809 2558 4367
RS_GCF_001695855.1 2680 3383 6063
RS_GCF_001563225.1 1798 1826 3624
RS_GCF_001689125.2 2337 2379 4716
RS_GCF_900078545.1 643 907 1550
RS_GCF_001507595.1 1681 2148 3829
RS_GCF_001572875.1 921 1131 2052
RS_GCF_001513675.1 1571 1781 3352
RS_GCF_001645775.1 737 1210 1947
RS_GCF_001729485.1 3845 3354 7199
RS_GCF_001652895.1 4199 3863 8062
RS_GCF_001558155.1 2437 2533 4970
RS_GCF_001613305.1 4620 3892 8512
RS_GCF_900092375.1 1432 1616 3048
RS_GCF_001673415.1 2340 2961 5301
RS_GCF_001705425.1 2804 3162 5966
RS_GCF_001651865.1 2579 3000 5579
RS_GCF_001675935.1 1884 2298 4182
RS_GCF_001667965.1 2852 3298 6150
RS_GCF_001612785.1 3643 3203 6846
RS_GCF_001552195.1 3825 3400 7225
RS_GCF_001519075.1 1777 1822 3599
RS_GCF_001652875.1 949 1481 2430
RS_GCF_001618175.1 1577 2055 3632
RS_GCF_001700855.1 1073 3860 4933
RS_GCF_001541225.1 4265 3659 7924
RS_GCF_001701025.1 5633 4124 9757
RS_GCF_900048035.1 22 462 484
RS_GCF_001613785.1 1295 1799 3094
RS_GCF_001660175.1 882 3354 4236
RS_GCF_001693615.1 2092 2863 4955
RS_GCF_001631935.1 2231 1279 3510
RS_GCF_000938735.2 2808 1945 4753
RS_GCF_001685485.1 2037 1699 3736
RS_GCF_001593305.1 1182 1672 2854
RS_GCF_001591805.1 2324 3055 5379
RS_GCF_001718895.1 2833 4129 6962
RS_GCF_001646675.1 1563 2046 3609
RS_GCF_001653755.1 1570 1314 2884
RS_GCF_001647175.1 2586 2656 5242
RS_GCF_001667075.1 2160 2909 5069
RS_GCF_001684025.1 1341 1022 2363
RS_GCF_001655905.1 794 816 1610
RS_GCF_001693255.1 1611 1565 3176
RS_GCF_001667705.1 2090 2918 5008
RS_GCF_001544835.2 3007 3852 6859
RS_GCF_001647185.1 2589 2657 5246
RS_GCF_001636395.1 2370 3069 5439
RS_GCF_001655775.1 684 886 1570
RS_GCF_001650735.1 2495 2496 4991
RS_GCF_001688665.2 4010 3071 7081
RS_GCF_001672675.1 2682 3237 5919
RS_GCF_001687805.1 1763 2562 4325
RS_GCF_001598235.1 1885 2960 4845
RS_GCF_001543325.1 1328 1314 2642
RS_GCF_001644665.1 769 1143 1912
RS_GCF_001584565.1 744 1194 1938
RS_GCF_001592265.1 1430 2115 3545
RS_GCF_001708955.1 1991 2025 4016
RS_GCF_001522635.1 3009 3278 6287
RS_GCF_001729265.1 870 2600 3470
RS_GCF_001552785.1 582 703 1285
RS_GCF_001686945.1 1320 1152 2472
RS_GCF_001729725.1 1028 3396 4424
RS_GCF_001687565.2 1525 2213 3738
RS_GCF_001693675.1 3428 2789 6217
RS_GCF_001709035.1 2308 2088 4396
RS_GCF_001663715.1 962 1582 2544
RS_GCF_001548275.1 704 1075 1779
RS_GCF_001691475.1 1453 1497 2950
RS_GCF_001685415.1 1590 1781 3371
RS_GCF_001644955.1 2137 3315 5452
RS_GCF_001675205.1 1926 2288 4214
RS_GCF_001693415.1 1522 1270 2792
RS_GCF_001637185.1 1812 1443 3255
RS_GCF_001647535.1 1208 1693 2901
RS_GCF_001675785.1 637 631 1268
RS_GCF_001652465.1 1394 1645 3039
RS_GCF_001685035.1 1425 2219 3644
RS_GCF_900086725.1 2010 1970 3980
RS_GCF_001722495.1 1055 2154 3209
RS_GCF_001678905.1 908 1169 2077
RS_GCF_001188955.3 4793 3405 8198
RS_GCF_001735525.1 1800 2304 4104
RS_GCF_001722415.1 1497 2103 3600
RS_GCF_001688765.2 1239 1048 2287
RS_GCF_001046645.1 2261 2268 4529
RS_GCF_001640115.1 1903 1567 3470
RS_GCF_001602525.1 3100 1938 5038
RS_GCF_001708505.1 2382 3388 5770
RS_GCF_001641615.1 1992 2252 4244
RS_GCF_001639745.1 1425 2239 3664
RS_GCF_001647695.1 368 1157 1525
RS_GCF_001717745.1 1910 1792 3702
RS_GCF_001692675.1 2898 3211 6109
RS_GCF_001544555.2 4242 5043 9285
RS_GCF_001617435.1 1654 1870 3524
RS_GCF_001722335.1 2594 3196 5790
RS_GCF_001515525.1 2105 2110 4215
RS_GCF_001660395.1 2074 2388 4462
RS_GCF_001646665.1 3677 3057 6734
RS_GCF_001707925.1 562 631 1193
RS_GCF_001591425.1 2386 2616 5002
RS_GCF_001730685.1 1099 1334 2433
RS_GCF_900068845.1 1303 3353 4656
RS_GCF_001534765.1 1110 1783 2893
RS_GCF_001717765.1 1601 2284 3885
RS_GCF_001650725.1 2428 2475 4903
RS_GCF_001649535.1 2056 2841 4897
RS_GCF_001668695.1 2384 3009 5393
RS_GCF_001189235.2 3989 3732 7721
RS_GCF_001660705.2 2592 1951 4543
RS_GCF_900079515.1 2386 2609 4995
RS_GCF_001723685.1 1901 1403 3304
RS_GCF_001646955.1 3188 2489 5677
RS_GCF_001570985.1 1498 1766 3264
RS_GCF_001673155.1 2266 2823 5089
RS_GCF_001644565.1 1402 1360 2762
RS_GCF_001718315.1 2526 3583 6109
RS_GCF_001651875.1 2532 2992 5524
RS_GCF_001719045.1 2291 2835 5126
RS_GCF_001663585.1 2137 2752 4889
RS_GCF_001580045.1 724 978 1702
RS_GCF_001693815.1 1158 1663 2821
RS_GCF_001652485.1 1931 2772 4703
RS_GCF_001648605.1 1146 1382 2528
RS_GCF_001570545.1 4509 3609 8118
RS_GCF_001641405.1 2306 1443 3749
RS_GCF_001578885.1 499 1090 1589
RS_GCF_900087055.1 842 2084 2926
RS_GCF_900016305.1 2077 1795 3872
RS_GCF_001514305.1 5834 4140 9974
RS_GCF_001553115.1 716 998 1714
RS_GCF_001552355.1 1694 2034 3728
RS_GCF_001677275.1 1696 2414 4110
RS_GCF_900092025.1 2043 2134 4177
RS_GCF_001542415.1 4236 3942 8178
RS_GCF_001650405.1 1667 1785 3452
RS_GCF_001691055.1 1720 2420 4140
RS_GCF_001591405.1 1656 1872 3528
RS_GCF_001695575.1 2200 2817 5017
RS_GCF_001590725.1 968 1521 2489
RS_GCF_001717585.1 980 1305 2285
RS_GCF_001667015.1 2488 3099 5587
RS_GCF_001642705.1 1906 3105 5011
RS_GCF_001653895.1 1910 2897 4807
RS_GCF_001669775.1 2005 2254 4259
RS_GCF_001668625.1 1373 2117 3490
RS_GCF_001679965.1 2452 2636 5088
RS_GCF_001623255.1 2237 2405 4642
RS_GCF_001642835.1 1804 1474 3278
RS_GCF_001685015.1 1688 2603 4291
RS_GCF_900094325.1 1837 2124 3961
RS_GCF_001663155.1 1133 1432 2565
RS_GCF_001516615.1 1462 1774 3236
RS_GCF_001698225.1 2215 2844 5059
RS_GCF_001517835.1 410 756 1166
RS_GCF_001742185.1 1601 3031 4632
RS_GCF_001562255.1 2448 2821 5269
RS_GCF_001718795.1 2481 3406 5887
RS_GCF_000346485.2 7331 3546 10877
RS_GCF_001597745.1 2570 2113 4683
RS_GCF_001698145.1 558 1138 1696
RS_GCF_001571125.1 2300 2334 4634
RS_GCF_900046475.1 1142 1301 2443
RS_GCF_001547935.1 1676 2902 4578
RS_GCF_001544875.2 3105 4460 7565
RS_GCF_001557235.1 2729 2513 5242
RS_GCF_001742285.1 1652 1889 3541
RS_GCF_001552655.1 1282 2008 3290
RS_GCF_001679225.1 1236 1282 2518
RS_GCF_001570885.1 1042 1288 2330
RS_GCF_001515545.1 1690 2439 4129
RS_GCF_001547755.1 551 986 1537
RS_GCF_001580015.1 877 1003 1880
RS_GCF_001545135.1 3232 4007 7239
RS_GCF_001602485.1 1499 1759 3258
RS_GCF_001696545.1 1847 2475 4322
RS_GCF_001705035.1 1738 1541 3279
RS_GCF_001652275.1 1005 1059 2064
RS_GCF_900077695.1 1435 3476 4911
RS_GCF_001575205.1 2357 2488 4845
RS_GCF_001651035.1 1680 2610 4290
RS_GCF_001718875.1 1927 2798 4725
RS_GCF_001581925.1 578 1270 1848
RS_GCF_001643155.1 1456 3488 4944
RS_GCF_001648575.1 2184 2548 4732
RS_GCF_001542325.1 3306 2628 5934
RS_GCF_001642935.1 1744 2348 4092
RS_GCF_001625015.1 2360 1487 3847
RS_GCF_001556025.1 2320 2598 4918
RS_GCF_900086585.1 2155 2170 4325
RS_GCF_900004865.1 2373 3254 5627
RS_GCF_001676745.1 1942 3325 5267
RS_GCF_001676075.1 1507 2430 3937
RS_GCF_001642955.1 3520 1693 5213
RS_GCF_001586775.1 1609 1560 3169
RS_GCF_001705545.1 1909 2082 3991
RS_GCF_001650215.1 5141 4504 9645
RS_GCF_001653795.1 2762 2538 5300
RS_GCF_001544355.1 1676 2050 3726
RS_GCF_001509495.1 6015 4131 10146
RS_GCF_001667525.1 2228 2995 5223
RS_GCF_900089755.1 1343 2020 3363
RS_GCF_001656335.1 700 1276 1976
RS_GCF_001623175.1 1359 1634 2993
RS_GCF_001507605.1 1295 1839 3134
RS_GCF_001676705.1 1829 3324 5153
RS_GCF_001735765.1 1514 1627 3141
RS_GCF_001639695.1 1331 2022 3353
RS_GCF_001666755.1 2220 2816 5036
RS_GCF_001679665.1 2128 1742 3870
RS_GCF_001741965.1 2002 2209 4211
RS_GCF_001543925.1 2367 2097 4464
RS_GCF_001640565.1 5084 4449 9533
RS_GCF_001646785.1 2858 3077 5935
RS_GCF_001654515.1 2193 3127 5320
RS_GCF_001703635.1 1911 2456 4367
RS_GCF_001735745.1 1490 1076 2566
RS_GCF_001577755.1 1982 1573 3555
RS_GCF_001656375.1 689 1234 1923
RS_GCF_001543895.1 2465 2340 4805
RS_GCF_001511835.1 2281 2305 4586
RS_GCF_001612945.1 3826 3587 7413
RS_GCF_000770115.1 2231 3005 5236
RS_GCF_001648355.1 950 1183 2133
RS_GCF_001642915.1 3743 2024 5767
RS_GCF_001518015.1 2089 2495 4584
RS_GCF_001655735.1 1950 2428 4378
RS_GCF_001735715.1 836 981 1817
RS_GCF_001628815.1 1752 1928 3680
RS_GCF_001678755.1 1311 1674 2985
RS_GCF_900018785.1 1277 1856 3133
RS_GCF_001708185.1 2255 2397 4652
RS_GCF_001654865.1 1100 3299 4399
RS_GCF_001517625.2 1491 1684 3175
RS_GCF_001645385.1 2207 2844 5051
RS_GCF_001613165.1 4349 3850 8199
RS_GCF_001676055.1 1651 2626 4277
RS_GCF_001590985.1 2739 2227 4966
RS_GCF_001637565.1 1362 1675 3037
RS_GCF_001618145.1 1560 2368 3928
RS_GCF_900079845.1 1465 2567 4032
RS_GCF_001544375.1 1073 1672 2745
RS_GCF_001645705.1 1869 2616 4485
RS_GCF_001650955.1 2129 1889 4018
RS_GCF_001665255.1 2511 2758 5269
RS_GCF_900004795.1 2360 3452 5812
GB_GCA_001655195.1 1407 1503 2910
GB_GCA_001689665.1 1318 1056 2374
GB_GCA_001642695.1 3748 1666 5414
GB_GCA_001701105.1 994 878 1872
GB_GCA_001672075.1 2719 1681 4400
GB_GCA_001689655.1 1492 1008 2500
GB_GCA_900066215.1 1500 1186 2686
GB_GCA_001724025.1 2017 1854 3871
GB_GCA_001724855.1 1462 2165 3627
GB_GCA_900066365.1 1891 1522 3413
GB_GCA_900066125.1 1476 1291 2767
GB_GCA_001725505.1 1692 2218 3910
GB_GCA_001724535.1 1332 1943 3275
GB_GCA_001730085.1 602 757 1359
GB_GCA_001679705.1 1225 1739 2964
GB_GCA_001730095.1 2145 2284 4429
GB_GCA_001724355.1 1642 1950 3592
GB_GCA_001724295.1 1830 1761 3591
GB_GCA_001701295.1 1749 1037 2786
GB_GCA_001689615.1 879 878 1757
GB_GCA_900066515.1 1386 1517 2903
GB_GCA_900066625.1 1630 1515 3145
GB_GCA_900066785.1 1370 1520 2890
GB_GCA_900066885.1 1599 1245 2844
GB_GCA_900066305.1 1050 1269 2319
GB_GCA_001724795.1 1761 2209 3970
GB_GCA_001689645.1 2344 1227 3571
GB_GCA_900066105.1 1436 1272 2708
GB_GCA_001724815.1 1145 1513 2658
GB_GCA_001701135.1 1070 961 2031
GB_GCA_900066355.1 1703 1619 3322
GB_GCA_900066415.1 2559 2971 5530
GB_GCA_001725555.1 1263 1639 2902
GB_GCA_900066545.1 1219 1502 2721
GB_GCA_001689445.1 1091 936 2027
GB_GCA_001735895.1 2465 2172 4637
GB_GCA_900066075.1 1465 1604 3069
GB_GCA_000503875.1 1820 474 2294
GB_GCA_000820785.2 5884 2348 8232
GB_GCA_900066165.1 1965 1807 3772
GB_GCA_900066825.1 2513 1402 3915
GB_GCA_900067015.1 1090 1005 2095
GB_GCA_001602605.1 983 2216 3199
GB_GCA_001683905.1 1676 1362 3038
GB_GCA_001700545.1 4463 2311 6774
GB_GCA_000205985.2 465 897 1362
GB_GCA_001645765.1 1483 322 1805
GB_GCA_900066245.1 1794 1881 3675
GB_GCA_900066765.1 1961 1532 3493
GB_GCA_001643455.1 617 811 1428
GB_GCA_900066145.1 1835 1807 3642
GB_GCA_001689725.1 928 1480 2408
GB_GCA_001724715.1 1387 1673 3060
GB_GCA_001683845.1 1299 1301 2600
GB_GCA_900066495.1 1529 1823 3352
GB_GCA_000192415.1 2909 2837 5746
GB_GCA_001701305.1 1129 953 2082
GB_GCA_001689405.1 1214 1148 2362
GB_GCA_001725415.1 3248 3519 6767
GB_GCA_001701195.1 1269 1159 2428
GB_GCA_900066395.1 1305 1364 2669
GB_GCA_001643475.1 1370 1455 2825
GB_GCA_900066065.1 1557 1391 2948
GB_GCA_001664505.1 2811 1941 4752
GB_GCA_001678065.1 660 877 1537
GB_GCA_900066985.1 1629 1628 3257
GB_GCA_001683985.1 1356 1359 2715
GB_GCA_001643555.1 650 660 1310
GB_GCA_900092645.1 2398 1537 3935
GB_GCA_001644445.1 649 689 1338
GB_GCA_001701075.1 1165 971 2136
GB_GCA_900066595.1 1443 1645 3088
GB_GCA_001698425.1 3329 1838 5167
GB_GCA_001664005.1 2005 2404 4409
GB_GCA_900066835.1 2009 1591 3600
GB_GCA_001689535.1 1064 1018 2082
GB_GCA_001725215.1 883 883 1766
GB_GCA_900066655.1 1453 1392 2845
GB_GCA_900066445.1 1539 1414 2953
GB_GCA_001725235.1 1868 2438 4306
GB_GCA_900066575.1 1728 1596 3324
GB_GCA_900066345.1 1757 1666 3423
GB_GCA_900066265.1 2344 1690 4034
GB_GCA_001724985.1 1227 1420 2647
GB_GCA_900066695.1 2142 1938 4080
RS_GCF_001886615.1 1117 2123 3240
RS_GCF_900012755.1 1688 2054 3742
RS_GCF_900074805.1 2107 2124 4231
RS_GCF_001878945.1 1177 3237 4414
RS_GCF_001815355.1 384 1411 1795
RS_GCF_900088145.1 1175 1676 2851
RS_GCF_001912385.1 1251 3646 4897
RS_GCF_001759685.1 976 1834 2810
RS_GCF_001748305.1 4436 3687 8123
RS_GCF_900129955.1 3032 3083 6115
RS_GCF_900103385.1 547 1077 1624
RS_GCF_900078265.1 861 1352 2213
RS_GCF_001758635.1 2805 3007 5812
RS_GCF_001750165.1 2701 2428 5129
RS_GCF_001750405.1 2700 2425 5125
RS_GCF_900142615.1 2508 1701 4209
RS_GCF_001913705.1 1567 2021 3588
RS_GCF_900110745.1 1597 1268 2865
RS_GCF_001937175.1 1195 2323 3518
RS_GCF_900101445.1 706 1212 1918
RS_GCF_001854325.1 3276 3825 7101
RS_GCF_001879695.1 1783 2083 3866
RS_GCF_900112385.1 620 1185 1805
RS_GCF_900092415.1 1613 1883 3496
RS_GCF_001404655.1 968 1367 2335
RS_GCF_900142605.1 3428 2361 5789
RS_GCF_001886795.1 1506 1621 3127
RS_GCF_900142735.1 2461 1941 4402
RS_GCF_001878485.1 605 1017 1622
RS_GCF_900119105.1 4213 2505 6718
RS_GCF_900092425.1 1615 1895 3510
RS_GCF_001886835.1 1485 1617 3102
RS_GCF_001856115.1 1793 2316 4109
RS_GCF_001939535.1 1248 2826 4074
RS_GCF_900018365.1 1085 1010 2095
RS_GCF_900104225.1 644 1164 1808
RS_GCF_900129215.1 4126 2607 6733
RS_GCF_900142985.1 3938 3346 7284
RS_GCF_001857155.1 1424 2306 3730
RS_GCF_001913465.1 2734 3014 5748
RS_GCF_001940035.1 705 834 1539
RS_GCF_900107315.1 2063 1738 3801
RS_GCF_001922445.1 992 3684 4676
RS_GCF_001885805.1 1032 1671 2703
RS_GCF_900104775.1 2786 2523 5309
RS_GCF_001929365.1 1185 1318 2503
RS_GCF_900142105.1 1702 1698 3400
RS_GCF_900101935.1 1816 1863 3679
RS_GCF_900111975.1 2601 3309 5910
RS_GCF_001937675.1 1164 1287 2451
RS_GCF_001905625.1 3388 2852 6240
RS_GCF_900114875.1 2632 1636 4268
