Prokka_unannotated Prokka_annotated Prokka_CDSs KEGG_unannotated KEGG_annotated Pfam_unannotated Pfam_annotated KEGG_Pfam_CDSs
RS_GCF_001750115.1 1404 1877 3281 1266 2016 574 2708 3282
RS_GCF_900108455.1 439 884 1323 414 922 171 1165 1336
RS_GCF_001865135.1 1759 1795 3554 1601 2030 700 2931 3631
RS_GCF_001905905.1 3499 2910 6409 3270 3169 1408 5031 6439
RS_GCF_001889165.1 1829 2332 4161 1774 2388 834 3328 4162
RS_GCF_900142525.1 2026 1389 3415 1938 1517 915 2540 3455
RS_GCF_900115125.1 1430 1520 2950 1241 1723 664 2300 2964
RS_GCF_900100795.1 2914 3659 6573 2501 4102 1134 5469 6603
RS_GCF_900128595.1 27 359 386 38 349 15 372 387
RS_GCF_900128495.1 1943 1474 3417 1850 1581 869 2562 3431
RS_GCF_001886975.1 2026 3355 5381 1665 3718 659 4724 5383
RS_GCF_900116455.1 2267 2476 4743 1854 2944 778 4020 4798
RS_GCF_001747495.1 1272 1213 2485 1146 1356 505 1997 2502
RS_GCF_900115325.1 1323 1487 2810 1147 1687 610 2224 2834
RS_GCF_001750685.1 2526 2913 5439 2323 3118 914 4527 5441
RS_GCF_900105905.1 4320 5148 9468 4327 5147 1824 7650 9474
RS_GCF_900106095.1 1658 2961 4619 1365 3256 529 4092 4621
RS_GCF_001854685.1 3022 3483 6505 2471 4065 997 5539 6536
RS_GCF_900129445.1 1876 1595 3471 1699 1785 700 2784 3484
RS_GCF_001832885.1 854 1184 2038 799 1257 320 1736 2056
RS_GCF_001888165.1 1367 1649 3016 1202 1817 534 2485 3019
RS_GCF_900142625.1 1855 2077 3932 1523 2455 644 3334 3978
RS_GCF_900117375.1 841 1850 2691 827 1864 255 2436 2691
RS_GCF_001907295.1 1175 1377 2552 1157 1472 566 2063 2629
RS_GCF_001746295.1 5369 4536 9905 4988 4949 2026 7911 9937
RS_GCF_900128415.1 929 1064 1993 835 1158 374 1619 1993
RS_GCF_001908375.1 3500 3543 7043 2866 4177 1282 5761 7043
RS_GCF_900129755.1 2568 1731 4299 2443 1860 1152 3151 4303
RS_GCF_900143245.1 1806 1439 3245 1636 1617 729 2524 3253
RS_GCF_900099725.1 1977 2454 4431 1854 2579 698 3735 4433
RS_GCF_001937195.1 1365 2369 3734 1153 2651 494 3310 3804
RS_GCF_001905525.1 4040 3477 7517 3688 3830 1553 5965 7518
RS_GCF_900141665.1 1164 994 2158 1090 1090 547 1633 2180
RS_GCF_900141825.1 1568 1484 3052 1387 1704 561 2530 3091
RS_GCF_900015285.1 1330 1589 2919 1242 1732 603 2371 2974
RS_GCF_900142125.1 1664 1986 3650 1543 2143 593 3093 3686
RS_GCF_001811305.1 801 1151 1952 780 1205 308 1677 1985
RS_GCF_001895885.1 1447 2566 4013 1536 2477 663 3350 4013
RS_GCF_900129395.1 2186 2622 4808 1779 3050 685 4144 4829
RS_GCF_001913155.1 2089 1622 3711 1946 1765 754 2957 3711
RS_GCF_001406555.1 1378 1327 2705 1235 1482 526 2191 2717
RS_GCF_001938945.1 2208 2634 4842 1755 3113 747 4121 4868
RS_GCF_001941485.1 877 1322 2199 740 1460 363 1837 2200
RS_GCF_900104645.1 534 779 1313 493 821 163 1151 1314
RS_GCF_001941715.1 2006 2208 4214 1632 2586 780 3438 4218
RS_GCF_001513715.1 1391 718 2109 468 616 383 701 1084
RS_GCF_001752345.1 2584 3571 6155 2089 4085 716 5458 6174
RS_GCF_900128885.1 732 1442 2174 662 1536 217 1981 2198
RS_GCF_900141845.1 2259 2194 4453 2146 2349 932 3563 4495
RS_GCF_900095305.1 1322 1637 2959 1189 1787 477 2499 2976
RS_GCF_001404495.1 2038 1702 3740 1879 1899 882 2896 3778
RS_GCF_900129365.1 1032 1465 2497 975 1554 412 2117 2529
RS_GCF_001870385.1 809 1360 2169 650 1511 299 1862 2161
RS_GCF_001808865.1 833 1154 1987 784 1230 317 1697 2014
RS_GCF_001632975.1 2577 3160 5737 3015 2778 1220 4573 5793
RS_GCF_001854345.1 1117 2593 3710 1205 2505 428 3282 3710
RS_GCF_900104195.1 1270 1228 2498 1154 1369 497 2026 2523
RS_GCF_001839505.1 642 1052 1694 594 1106 216 1484 1700
RS_GCF_001405835.1 1178 1305 2483 1046 1441 439 2048 2487
RS_GCF_900119055.1 2791 3193 5984 2642 3377 1004 5015 6019
RS_GCF_001904715.1 4554 2745 7299 4435 2949 2131 5253 7384
RS_GCF_001887285.1 1468 1740 3208 1217 1992 503 2706 3209
RS_GCF_900096885.1 1631 1730 3361 1449 1918 718 2649 3367
RS_GCF_001887185.1 2123 2927 5050 2397 2950 968 4379 5347
RS_GCF_900142085.1 1877 2121 3998 1557 2459 661 3355 4016
RS_GCF_900142135.1 2695 2530 5225 2655 2617 1006 4266 5272
RS_GCF_900111325.1 1054 1187 2241 987 1299 488 1798 2286
RS_GCF_001854405.1 1780 1696 3476 1481 1994 583 2892 3475
RS_GCF_001894985.1 2417 2576 4993 2274 2728 995 4007 5002
RS_GCF_001880225.1 696 1121 1817 615 1202 323 1494 1817
RS_GCF_900148505.1 1717 2638 4355 1302 3034 443 3893 4336
RS_GCF_001895925.1 3305 2111 5416 3277 2244 1662 3859 5521
RS_GCF_900142365.1 2619 3211 5830 2538 3328 998 4868 5866
RS_GCF_001753775.1 2589 3564 6153 2105 4083 719 5469 6188
RS_GCF_001180325.1 817 852 1669 814 935 480 1269 1749
RS_GCF_900142295.1 1925 2110 4035 1478 2561 644 3395 4039
RS_GCF_900129385.1 2216 1534 3750 2049 1723 1009 2763 3772
RS_GCF_001886595.1 4160 3340 7500 3790 3712 1630 5872 7502
RS_GCF_001632905.1 2644 3125 5769 3209 2780 1457 4532 5989
RS_GCF_001938665.1 1683 2679 4362 1830 2534 767 3597 4364
RS_GCF_001870485.1 1191 2459 3650 1220 2457 375 3302 3677
RS_GCF_900129325.1 2206 2724 4930 1826 3111 703 4234 4937
RS_GCF_900114735.1 1135 2121 3256 905 2360 302 2963 3265
RS_GCF_900116885.1 2287 1825 4112 2137 1980 964 3153 4117
RS_GCF_001895225.1 1802 2117 3919 1531 2397 660 3268 3928
RS_GCF_001854865.1 2454 2957 5411 1997 3428 800 4625 5425
RS_GCF_900129225.1 1103 1320 2423 982 1461 412 2031 2443
RS_GCF_900142425.1 1568 1732 3300 1199 2106 532 2773 3305
RS_GCF_900109735.1 1310 2080 3390 1074 2356 427 3003 3430
RS_GCF_001808425.1 1832 2901 4733 1545 3211 624 4132 4756
RS_GCF_001777155.1 1752 2609 4361 1451 2938 542 3847 4389
RS_GCF_900104675.1 2199 1593 3792 1997 1796 840 2953 3793
RS_GCF_001922585.1 851 2604 3455 802 2680 315 3167 3482
RS_GCF_900129475.1 1660 1329 2989 1536 1454 709 2281 2990
RS_GCF_001806945.1 1067 1289 2356 948 1424 506 1866 2372
RS_GCF_001757465.1 1092 1373 2465 963 1519 400 2082 2482
RS_GCF_900100855.1 901 1581 2482 777 1735 305 2207 2512
RS_GCF_900049235.1 2712 2282 4994 2662 2357 1153 3866 5019
RS_GCF_900143695.1 2554 2686 5240 2447 2876 1041 4282 5323
RS_GCF_900142325.1 1926 1433 3359 1834 1541 831 2544 3375
RS_GCF_001839645.1 1563 2565 4128 1240 2910 468 3682 4150
RS_GCF_001748145.1 3189 3675 6864 2648 4218 1122 5744 6866
RS_GCF_001894885.1 2383 2394 4777 2367 2426 1241 3552 4793
RS_GCF_900128735.1 25 365 390 31 359 17 373 390
RS_GCF_001907235.1 1061 1124 2185 961 1239 480 1720 2200
RS_GCF_900128865.1 1385 2276 3661 1226 2437 561 3102 3663
RS_GCF_001262715.1 1391 718 2109 470 616 384 702 1086
RS_GCF_001895205.1 1151 2123 3274 938 2347 408 2877 3285
RS_GCF_900119835.1 919 1231 2150 868 1307 398 1777 2175
RS_GCF_900115725.1 1045 1380 2425 884 1605 430 2059 2489
RS_GCF_001761405.1 717 2619 3336 740 2597 259 3078 3337
RS_GCF_900099065.1 782 839 1621 676 991 394 1273 1667
RS_GCF_001404335.1 2635 2438 5073 2532 2592 1048 4076 5124
RS_GCF_900142845.1 3209 4267 7476 2703 4773 1096 6380 7476
RS_GCF_900119145.1 1958 1498 3456 1810 1653 824 2639 3463
RS_GCF_900141735.1 1559 1843 3402 1200 2207 501 2906 3407
RS_GCF_900148515.1 2248 1790 4038 2101 1943 772 3272 4044
RS_GCF_001816125.1 3039 2032 5071 3222 2127 1524 3825 5349
RS_GCF_001906485.1 1413 1842 3255 1208 2059 477 2790 3267
RS_GCF_900099635.1 1254 1610 2864 1140 1738 462 2416 2878
RS_GCF_001878855.1 1559 1792 3351 1723 1921 747 2897 3644
RS_GCF_900129095.1 1579 2064 3643 1310 2341 487 3164 3651
RS_GCF_001758225.1 2292 2282 4574 2160 2441 883 3718 4601
RS_GCF_001941825.1 2941 3566 6507 2521 3991 944 5568 6512
RS_GCF_001812805.1 1196 1397 2593 1108 1538 598 2048 2646
RS_GCF_001936475.1 2373 1796 4169 2259 1921 923 3257 4180
RS_GCF_001854795.1 3128 3555 6683 2566 4146 1005 5707 6712
RS_GCF_001905855.1 4428 3550 7978 4125 3862 1755 6232 7987
RS_GCF_001866645.1 3628 2749 6377 3410 3013 1558 4865 6423
RS_GCF_001613545.1 2396 1781 4177 2265 1912 1052 3125 4177
RS_GCF_900104755.1 4220 3663 7883 3632 4253 1760 6125 7885
RS_GCF_001746915.1 2811 2261 5072 2751 2378 1143 3986 5129
RS_GCF_900129155.1 1762 2845 4607 1544 3091 556 4079 4635
RS_GCF_001458075.1 985 1543 2528 839 1690 327 2202 2529
RS_GCF_001767395.1 1640 2367 4007 1605 2402 673 3334 4007
RS_GCF_900142195.1 2962 3633 6595 2522 4146 1054 5614 6668
RS_GCF_900129485.1 1472 1959 3431 1394 2072 628 2838 3466
RS_GCF_900119235.1 1618 2009 3627 1325 2292 601 3016 3617
RS_GCF_001753425.1 3517 3185 6702 3193 3512 1307 5398 6705
RS_GCF_900119705.1 612 834 1446 542 904 205 1241 1446
RS_GCF_900119895.1 749 1005 1754 631 1122 266 1487 1753
RS_GCF_001922385.1 2435 2224 4659 2014 2646 877 3783 4660
RS_GCF_900142995.1 842 1432 2274 767 1549 288 2028 2316
RS_GCF_001865575.1 3283 3823 7106 2773 4335 1349 5759 7108
RS_GCF_900142785.1 2911 1756 4667 2769 1915 1389 3295 4684
RS_GCF_900105495.1 2420 3363 5783 2043 3740 859 4924 5783
RS_GCF_001756855.1 1439 1580 3019 1852 1586 1036 2402 3438
RS_GCF_001865655.1 2071 1706 3777 1937 1840 700 3077 3777
RS_GCF_900112965.1 5995 4479 10474 5705 4818 2442 8081 10523
RS_GCF_001905125.1 4932 3574 8506 4611 3901 2141 6371 8512
RS_GCF_001875665.1 924 1193 2117 864 1282 472 1674 2146
RS_GCF_900142725.1 2053 2506 4559 1602 2959 589 3972 4561
RS_GCF_001907275.1 669 981 1650 594 1062 295 1361 1656
RS_GCF_900112155.1 2331 1417 3748 2270 1568 1155 2683 3838
RS_GCF_001884705.1 4674 3013 7687 4680 3278 2365 5593 7958
RS_GCF_900109755.1 2131 2808 4939 1808 3169 869 4108 4977
RS_GCF_001809725.1 1051 1062 2113 961 1171 467 1665 2132
RS_GCF_001885215.1 1510 1387 2897 1344 1553 687 2210 2897
RS_GCF_001908175.1 1143 1669 2812 1056 1757 455 2358 2813
RS_GCF_001904655.1 2425 2235 4660 2323 2352 977 3698 4675
RS_GCF_900130035.1 1374 1383 2757 1248 1515 490 2273 2763
RS_GCF_001807865.1 1547 2056 3603 1266 2357 531 3092 3623
RS_GCF_900142375.1 1819 2051 3870 1691 2225 738 3178 3916
RS_GCF_001865245.1 3776 2567 6343 3613 2815 1862 4566 6428
RS_GCF_900106665.1 1642 1745 3387 1263 2142 535 2870 3405
RS_GCF_900129875.1 1958 2196 4154 1540 2631 659 3512 4171
RS_GCF_001906925.1 1306 1994 3300 1296 2024 551 2769 3320
RS_GCF_001758425.2 1748 1902 3650 1888 1837 786 2939 3725
RS_GCF_900115425.1 820 1278 2098 781 1365 299 1847 2146
RS_GCF_001807425.1 710 1257 1967 642 1336 257 1721 1978
RS_GCF_001932675.1 1914 1703 3617 1755 1869 654 2970 3624
RS_GCF_900109485.1 1442 3730 5172 1384 3812 506 4690 5196
RS_GCF_001927245.1 1952 2435 4387 1587 2818 555 3850 4405
RS_GCF_001885145.1 636 1339 1975 558 1417 214 1761 1975
RS_GCF_900129405.1 1571 1189 2760 1443 1322 714 2051 2765
RS_GCF_900142235.1 1116 1478 2594 1158 1558 541 2175 2716
RS_GCF_900143055.1 1834 1088 2922 1683 1246 818 2111 2929
RS_GCF_001815685.1 887 1286 2173 796 1434 424 1806 2230
RS_GCF_900129105.1 3175 1855 5030 3047 1992 1602 3437 5039
RS_GCF_001940005.1 1568 1529 3097 1380 1718 576 2522 3098
RS_GCF_001866725.1 1922 2532 4454 1902 2603 813 3692 4505
RS_GCF_001517365.1 690 1486 2176 519 1680 170 2029 2199
RS_GCF_900116805.1 1725 2036 3761 1697 2129 874 2952 3826
RS_GCF_001936295.1 779 495 1274 677 598 298 977 1275
RS_GCF_900099655.1 1456 2368 3824 1395 2445 524 3316 3840
RS_GCF_001905385.1 3753 3440 7193 3400 3798 1382 5816 7198
RS_GCF_900095615.1 1336 1802 3138 1207 1956 450 2713 3163
RS_GCF_900094765.1 3594 3580 7174 3420 3771 1530 5661 7191
RS_GCF_900111045.1 1716 2096 3812 1360 2462 542 3280 3822
RS_GCF_900115335.1 1669 2403 4072 1290 2851 527 3614 4141
RS_GCF_001050235.1 2040 1836 3876 1842 2036 738 3140 3878
RS_GCF_900106035.1 3531 3424 6955 3214 3742 1200 5756 6956
RS_GCF_900109655.1 2054 1343 3397 1957 1483 982 2458 3440
RS_GCF_001747405.1 1176 1370 2546 1025 1523 441 2107 2548
RS_GCF_900109265.1 3186 4307 7493 2623 4912 1049 6486 7535
RS_GCF_900142215.1 2947 2718 5665 2717 2996 1166 4547 5713
RS_GCF_900094955.1 1791 2796 4587 1739 2852 662 3929 4591
RS_GCF_001811625.1 738 1362 2100 792 1396 286 1902 2188
RS_GCF_900094785.1 500 1048 1548 478 1077 184 1371 1555
RS_GCF_001839655.1 1749 2760 4509 1403 3117 525 3995 4520
RS_GCF_900106755.1 2837 1890 4727 2761 1992 1080 3673 4753
RS_GCF_001879105.1 2520 2073 4593 2417 2254 1178 3493 4671
RS_GCF_001879645.1 666 1071 1737 593 1144 306 1431 1737
RS_GCF_001563665.1 518 648 1166 435 745 221 959 1180
RS_GCF_001895045.1 1765 2425 4190 1614 2581 596 3599 4195
RS_GCF_900105435.1 2170 2337 4507 2158 2351 949 3560 4509
RS_GCF_001758465.1 1962 2447 4409 1754 2661 669 3746 4415
RS_GCF_900148835.1 1464 1203 2667 1328 1341 617 2052 2669
RS_GCF_900115875.1 2423 1615 4038 2298 1763 1062 2999 4061
RS_GCF_001808405.1 767 1081 1848 656 1206 343 1519 1862
RS_GCF_001754075.1 1573 1630 3203 1456 1765 518 2703 3221
RS_GCF_900142955.1 2418 2150 4568 2253 2335 982 3606 4588
RS_GCF_900114165.1 1676 2432 4108 1600 2523 703 3420 4123
RS_GCF_001854785.1 2950 3243 6193 2590 3719 1045 5264 6309
RS_GCF_001941625.1 3270 2749 6019 2971 3053 1400 4624 6024
RS_GCF_001806865.1 967 1192 2159 885 1305 472 1718 2190
RS_GCF_001874525.1 1724 1966 3690 1356 2334 554 3136 3690
RS_GCF_001895305.1 1715 2573 4288 1675 2614 713 3576 4289
RS_GCF_900097105.1 1521 1008 2529 1303 1229 790 1742 2532
RS_GCF_900129355.1 1852 1840 3692 1815 1890 895 2810 3705
RS_GCF_900120245.1 680 957 1637 605 1035 284 1356 1640
RS_GCF_900142005.1 1380 2229 3609 1351 2328 462 3217 3679
RS_GCF_001404935.1 1470 1846 3316 1351 1977 558 2770 3328
RS_GCF_001895085.1 1032 1388 2420 968 1469 404 2033 2437
RS_GCF_001941525.1 1000 1136 2136 804 1332 395 1741 2136
RS_GCF_001807285.1 1009 1205 2214 943 1285 502 1726 2228
RS_GCF_001854225.1 438 907 1345 364 981 138 1207 1345
RS_GCF_900142175.1 2270 1715 3985 2139 1851 876 3114 3990
RS_GCF_900143075.1 2755 1947 4702 2626 2098 1121 3603 4724
RS_GCF_001836165.1 1071 1364 2435 978 1476 480 1974 2454
RS_GCF_001766635.1 2831 3066 5897 2907 3086 1255 4738 5993
RS_GCF_900129825.1 1362 1898 3260 1128 2149 395 2882 3277
RS_GCF_001870415.1 2270 3677 5947 1859 4093 708 5244 5952
RS_GCF_900128445.1 1049 1273 2322 878 1444 340 1982 2322
RS_GCF_001880985.1 1573 3633 5206 1557 3671 627 4601 5228
RS_GCF_900142575.1 3882 3130 7012 3611 3438 1515 5534 7049
RS_GCF_001921205.1 4074 3503 7577 3904 3752 1647 6009 7656
RS_GCF_001886875.1 1825 2291 4116 1749 2370 746 3373 4119
RS_GCF_001808505.1 900 1419 2319 786 1571 370 1987 2357
RS_GCF_001895025.1 2883 3002 5885 2799 3130 1300 4629 5929
RS_GCF_900129765.1 2608 2471 5079 2180 2902 897 4185 5082
RS_GCF_001865835.1 2018 1541 3559 1874 1685 876 2683 3559
RS_GCF_001406175.1 1473 1351 2824 1317 1520 597 2240 2837
RS_GCF_001753165.1 1442 1934 3376 1192 2185 518 2859 3377
RS_GCF_900113965.1 1556 1194 2750 1383 1377 596 2164 2760
RS_GCF_900047545.1 738 765 1503 724 851 380 1195 1575
RS_GCF_001887355.1 6174 3730 9904 5774 4171 2852 7093 9945
RS_GCF_900104615.1 1177 1189 2366 1099 1267 493 1873 2366
RS_GCF_001936255.1 460 491 951 370 582 225 727 952
RS_GCF_900105935.1 2403 3650 6053 2042 4011 850 5203 6053
RS_GCF_001811025.1 486 1419 1905 452 1466 201 1717 1918
RS_GCF_900095155.1 1294 1928 3222 1031 2195 451 2775 3226
RS_GCF_900143265.1 799 1190 1989 700 1320 315 1705 2020
RS_GCF_900099895.1 2142 3014 5156 1928 3250 866 4312 5178
RS_GCF_001750105.1 1389 1931 3320 1127 2192 455 2864 3319
RS_GCF_001885535.1 4241 3664 7905 4213 3695 1906 6002 7908
RS_GCF_001939115.1 2973 2264 5237 2972 2349 1330 3991 5321
RS_GCF_900095835.1 1279 926 2205 1182 1026 658 1550 2208
RS_GCF_001887695.1 5240 4285 9525 4490 5036 2239 7287 9526
RS_GCF_001940165.1 1574 1476 3050 1459 1607 644 2422 3066
RS_GCF_900095795.1 1528 1475 3003 1454 1553 488 2519 3007
RS_GCF_001886065.1 1449 1870 3319 1352 1991 617 2726 3343
RS_GCF_900112115.1 1684 1299 2983 1541 1450 723 2268 2991
RS_GCF_001750785.1 2899 2559 5458 2620 2844 1104 4360 5464
RS_GCF_001904745.1 5685 3205 8890 5694 3285 2848 6131 8979
RS_GCF_001517265.1 812 1475 2287 680 1618 268 2030 2298
RS_GCF_900141625.1 1549 1918 3467 1194 2279 480 2993 3473
RS_GCF_900141895.1 979 1369 2348 899 1489 338 2050 2388
RS_GCF_001941505.1 939 1359 2298 808 1490 395 1903 2298
RS_GCF_001939685.1 1517 2629 4146 1356 2831 493 3694 4187
RS_GCF_900108425.1 3485 3373 6858 3130 3795 1455 5470 6925
RS_GCF_900110135.1 1762 1967 3729 1499 2325 688 3136 3824
RS_GCF_001936615.1 2667 2498 5165 2593 2737 1251 4079 5330
RS_GCF_900141795.1 547 1111 1658 438 1221 183 1476 1659
RS_GCF_001877035.1 2066 2364 4430 1925 2507 911 3521 4432
RS_GCF_900112925.1 3172 3479 6651 2990 3731 1255 5466 6721
RS_GCF_001838165.1 915 1064 1979 841 1155 428 1568 1996
RS_GCF_900142465.1 2076 1163 3239 1965 1308 982 2291 3273
RS_GCF_001406435.1 2158 1739 3897 1967 1968 919 3016 3935
RS_GCF_001746755.1 1701 1839 3540 1550 2022 722 2850 3572
RS_GCF_001941805.1 1367 1827 3194 1245 1956 558 2643 3201
RS_GCF_001905365.1 4170 3526 7696 3751 3956 1492 6215 7707
RS_GCF_001758785.1 2580 2772 5352 2237 3178 921 4494 5415
RS_GCF_001938565.1 1924 2016 3940 1665 2290 783 3172 3955
RS_GCF_900129655.1 1557 1519 3076 1455 1628 586 2497 3083
RS_GCF_001610835.1 4426 2108 6534 4151 2384 2211 4324 6535
RS_GCF_900142025.1 1648 1757 3405 1480 1992 651 2821 3472
RS_GCF_900141975.1 1534 2414 3948 1114 2838 413 3539 3952
RS_GCF_900109855.1 1702 2002 3704 1376 2356 543 3189 3732
RS_GCF_001857925.1 1309 2392 3701 1371 2332 560 3143 3703
RS_GCF_001766415.1 1154 1762 2916 1117 1847 503 2461 2964
RS_GCF_900130065.1 1796 1984 3780 1639 2165 616 3188 3804
RS_GCF_001857965.1 1641 1548 3189 1474 1716 604 2586 3190
RS_GCF_001902295.1 2360 2084 4444 2237 2208 1024 3421 4445
RS_GCF_900142905.1 4154 5089 9243 3599 5645 1605 7639 9244
RS_GCF_001536245.1 1412 1174 2586 1359 1240 641 1958 2599
RS_GCF_001907695.1 1963 2464 4427 1602 2820 632 3790 4422
RS_GCF_900104565.1 1140 1300 2440 1054 1389 495 1948 2443
RS_GCF_001922955.1 2151 1900 4051 1937 2133 1004 3066 4070
RS_GCF_900143145.1 1162 2082 3244 1756 1875 962 2669 3631
RS_GCF_001940245.1 1109 1506 2615 978 1648 362 2264 2626
RS_GCF_900143065.1 2827 3021 5848 2402 3465 908 4959 5867
RS_GCF_001889925.1 851 1389 2240 656 1566 301 1921 2222
RS_GCF_900106105.1 1742 3046 4788 1427 3361 568 4220 4788
RS_GCF_001748285.1 2332 2087 4419 2291 2170 1063 3398 4461
RS_GCF_001854125.1 1572 2231 3803 1250 2553 522 3281 3803
RS_GCF_900142935.1 1762 1995 3757 1413 2346 638 3121 3759
RS_GCF_001855275.1 2024 2569 4593 1649 2947 702 3894 4596
RS_GCF_001747005.1 1644 1511 3155 1602 1685 784 2503 3287
RS_GCF_001814055.1 495 1440 1935 455 1487 184 1758 1942
RS_GCF_001642875.1 3301 1796 5097 3171 1957 1579 3549 5128
RS_GCF_900143285.1 2530 2764 5294 2323 3001 927 4397 5324
RS_GCF_900070365.1 3979 2907 6886 3737 3153 1786 5104 6890
RS_GCF_001908475.1 1267 2515 3782 1325 2458 503 3280 3783
RS_GCF_001814145.1 2046 1096 3142 1977 1223 1158 2042 3200
RS_GCF_001905465.1 3867 2912 6779 3544 3233 1586 5191 6777
RS_GCF_900142805.1 863 1652 2515 815 1716 313 2218 2531
RS_GCF_001767255.1 936 1233 2169 838 1335 422 1751 2173
RS_GCF_001758545.1 3153 3138 6291 2666 3632 1018 5280 6298
RS_GCF_001886475.1 1560 2031 3591 1362 2232 559 3035 3594
RS_GCF_900142545.1 1683 1103 2786 1518 1267 704 2081 2785
RS_GCF_900095445.1 1307 1543 2850 1196 1701 523 2374 2897
RS_GCF_001752465.1 724 1419 2143 720 1441 357 1804 2161
RS_GCF_001896135.2 4740 3396 8136 4729 3444 2208 5965 8173
RS_GCF_001938985.1 2141 2719 4860 1697 3182 659 4220 4879
RS_GCF_900128465.1 1080 1038 2118 1165 972 581 1556 2137
RS_GCF_900129125.1 1703 2164 3867 1510 2442 671 3281 3952
RS_GCF_900104015.1 2127 2981 5108 1682 3417 698 4401 5099
RS_GCF_001941565.1 1217 1278 2495 1096 1403 615 1884 2499
RS_GCF_001936625.1 1372 1962 3334 1342 2019 585 2776 3361
RS_GCF_900142495.1 1959 1099 3058 1763 1299 877 2185 3062
RS_GCF_900130125.1 3043 1943 4986 2845 2146 1113 3878 4991
RS_GCF_900143045.1 949 1548 2497 906 1648 344 2210 2554
RS_GCF_900099975.1 1593 2061 3654 1355 2315 535 3135 3670
RS_GCF_900129665.1 1997 1524 3521 1863 1666 703 2826 3529
RS_GCF_001405615.1 1870 1585 3455 1776 1701 818 2659 3477
RS_GCF_900111805.1 1740 2070 3810 1593 2226 726 3093 3819
RS_GCF_001854605.1 2020 2155 4175 1835 2355 821 3369 4190
RS_GCF_900129175.1 980 1196 2176 886 1371 423 1834 2257
RS_GCF_001306035.1 1835 1812 3647 1686 1992 640 3038 3678
RS_GCF_900112305.1 1448 1866 3314 1188 2149 576 2761 3337
RS_GCF_001837775.1 859 1277 2136 756 1383 345 1794 2139
RS_GCF_900142445.1 2806 1792 4598 2749 1913 1341 3321 4662
RS_GCF_001753835.1 2299 3053 5352 2011 3375 961 4425 5386
RS_GCF_900130105.1 1949 2621 4570 1760 2859 739 3880 4619
RS_GCF_001887775.1 1298 1668 2966 1121 1844 455 2510 2965
RS_GCF_001855385.1 1087 1288 2375 989 1400 386 2003 2389
RS_GCF_900142875.1 1335 1851 3186 993 2210 412 2791 3203
RS_GCF_900114135.1 1625 2074 3699 1268 2479 561 3186 3747
RS_GCF_001865795.1 3131 2880 6011 2802 3213 1142 4873 6015
RS_GCF_001864895.1 1740 1667 3407 1511 1913 698 2726 3424
RS_GCF_001815935.1 877 1265 2142 786 1380 380 1786 2166
RS_GCF_001886275.1 1934 1957 3891 1848 2091 889 3050 3939
RS_GCF_900129945.1 2269 1761 4030 2141 1953 956 3138 4094
RS_GCF_001921845.1 778 1234 2012 693 1327 285 1735 2020
RS_GCF_001886195.1 992 1320 2312 1030 1316 519 1827 2346
RS_GCF_001806875.1 1020 1270 2290 954 1377 522 1809 2331
RS_GCF_900119165.1 4578 4082 8660 4277 4390 1806 6861 8667
RS_GCF_001888805.1 895 3135 4030 920 3113 278 3755 4033
RS_GCF_001807025.1 997 1369 2366 897 1489 414 1972 2386
RS_GCF_001940315.1 957 1419 2376 884 1493 329 2048 2377
RS_GCF_001886515.1 2688 3243 5931 2744 3187 1087 4844 5931
RS_GCF_001907245.1 726 980 1706 628 1081 316 1393 1709
RS_GCF_001909095.1 2965 3260 6225 2736 3548 1134 5150 6284
RS_GCF_001854065.1 1138 1553 2691 906 1788 431 2263 2694
RS_GCF_001854525.1 2484 2957 5441 2761 2850 1126 4485 5611
RS_GCF_900111065.1 2036 1493 3529 1916 1644 932 2628 3560
RS_GCF_900105635.1 2291 3312 5603 1905 3698 792 4811 5603
RS_GCF_900129015.1 2820 1927 4747 2694 2066 1221 3539 4760
RS_GCF_001860525.1 3209 3502 6711 2951 3785 1165 5571 6736
RS_GCF_900129835.1 1588 2385 3973 1238 2742 517 3463 3980
RS_GCF_001809895.1 696 1218 1914 642 1284 269 1657 1926
RS_GCF_900107035.1 1141 1669 2810 1072 1777 533 2316 2849
RS_GCF_001761465.1 1955 1598 3553 1776 1777 773 2780 3553
RS_GCF_001908185.1 4569 3805 8374 4213 4423 2119 6517 8636
RS_GCF_900086985.1 1366 2456 3822 1074 2751 394 3431 3825
RS_GCF_900120125.1 661 1021 1682 673 1013 258 1428 1686
RS_GCF_001888185.1 1920 2091 4011 1498 2513 660 3351 4011
RS_GCF_001931685.1 2252 2440 4692 1869 2850 775 3944 4719
RS_GCF_900143185.1 2510 1575 4085 2353 1735 1132 2956 4088
RS_GCF_900111185.1 2325 1822 4147 2223 1988 972 3239 4211
RS_GCF_001856025.1 2792 3180 5972 2730 3263 1245 4748 5993
RS_GCF_900116825.1 1745 2047 3792 1498 2377 675 3200 3875
RS_GCF_001747095.1 2409 1617 4026 2237 1791 928 3100 4028
RS_GCF_900102315.1 2083 2272 4355 1633 2750 733 3650 4383
RS_GCF_900095725.1 1969 2204 4173 1779 2407 752 3434 4186
RS_GCF_900095825.1 975 1455 2430 889 1546 367 2068 2435
RS_GCF_001890765.1 2449 2008 4457 2405 2057 1016 3446 4462
RS_GCF_900090125.1 2849 2706 5555 2621 2953 1016 4558 5574
RS_GCF_900104825.1 1573 2875 4448 1251 3198 504 3945 4449
